Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Moussa Marega,FC Porto,Liga NOS,Mali,27,186,83
Antonio Mirante,Roma,Serie A TIM,Italy,35,193,79
Lassana Diarra,Paris Saint-Germain,Ligue 1 Conforama,France,33,174,74
Juan Francisco Torres Belén,Atlético Madrid,LaLiga Santander,Spain,33,181,71
Ángel Correa,Atlético Madrid,LaLiga Santander,Argentina,23,171,68
Abdoulaye Doucouré,Watford,Premier League,France,25,182,76
Gerard Deulofeu Lázaro,Watford,Premier League,Spain,24,177,73
Mathieu Valbuena,Fenerbahçe SK,Süper Lig,France,34,167,63
Martin krtel,Fenerbahçe SK,Süper Lig,Slovakia,33,191,81
Kevin Volland,Bayer 04 Leverkusen,Bundesliga,Germany,26,179,81
Sven Bender,Bayer 04 Leverkusen,Bundesliga,Germany,29,186,80
Charles Aránguiz,Bayer 04 Leverkusen,Bundesliga,Chile,29,171,71
Gerónimo Rulli,Real Sociedad,LaLiga Santander,Argentina,26,189,84
Pablo Sarabia García,Sevilla FC,LaLiga Santander,Spain,26,174,70
Wissam Ben Yedder,Sevilla FC,LaLiga Santander,France,28,170,68
Bruno Soriano Llido,Villarreal CF,LaLiga Santander,Spain,34,184,73
Pablo Fornals Malla,Villarreal CF,LaLiga Santander,Spain,22,178,67
Manuel Lanzini,West Ham United,Premier League,Argentina,25,167,59
Franco Cervi,SL Benfica,Liga NOS,Argentina,24,165,62
Stevan Jovetic,AS Monaco Football Club SA,Ligue 1 Conforama,Montenegro,28,183,79
Marcos Paulo Mesquita Lopes,AS Monaco Football Club SA,Ligue 1 Conforama,Portugal,22,174,68
Djibril Sidibé,AS Monaco Football Club SA,Ligue 1 Conforama,France,26,182,81
Kevin Vogt,TSG 1899 Hoffenheim,Bundesliga,Germany,27,194,85
Kerem Demirbay,TSG 1899 Hoffenheim,Bundesliga,Germany,25,182,72
Matteo Politano,Inter,Serie A TIM,Italy,25,171,67
Keita Baldé Diao,Inter,Serie A TIM,Senegal,23,181,80
Marcelo Brozovic,Inter,Serie A TIM,Croatia,25,181,68
Matias Vecino,Inter,Serie A TIM,Uruguay,27,187,81
Gary Medel,Be?ikta? JK,Süper Lig,Chile,31,171,65
Vicente Iborra de la Fuente,Leicester City,Premier League,Spain,30,190,91
Ricardo D. Barbosa Pereira,Leicester City,Premier League,Portugal,25,175,70
Iñaki Williams Dannis,Athletic Club,LaLiga Santander,Spain,24,186,79
Raúl García Escudero,Athletic Club,LaLiga Santander,Spain,32,184,84
Raffael Caetano de Araújo,Borussia Mönchengladbach,Bundesliga,Brazil,33,174,69
Thorgan Hazard,Borussia Mönchengladbach,Bundesliga,Belgium,25,174,69
Christoph Kramer,Borussia Mönchengladbach,Bundesliga,Germany,27,191,76
Lars Stindl,Borussia Mönchengladbach,Bundesliga,Germany,30,181,80
Jack Butland,Stoke City,EFL Championship,England,25,196,95
Daniel Caligiuri,FC Schalke 04,Bundesliga,Italy,30,182,80
Mark Uth,FC Schalke 04,Bundesliga,Germany,27,185,72
Carlos Soler Barragán,Valencia CF,LaLiga Santander,Spain,21,180,76
Santiago Mina Lorenzo,Valencia CF,LaLiga Santander,Spain,22,181,77
Marcel Sabitzer,RB Leipzig,Bundesliga,Austria,24,177,74
Yaroslav Rakitskyi,Shakhtar Donetsk,Ukrayina Liha,Ukraine,29,184,83
Taras Stepanenko,Shakhtar Donetsk,Ukrayina Liha,Ukraine,29,181,76
Matthijs de Ligt,Ajax,Eredivisie,Holland,19,188,89
Duan Tadic,Ajax,Eredivisie,Serbia,29,181,76
Pedro León Sánchez Gil,SD Eibar,LaLiga Santander,Spain,31,183,73
Vicente Guaita Panadero,Crystal Palace,Premier League,Spain,31,190,80
Younès Belhanda,Galatasaray SK,Süper Lig,Morocco,28,179,75
Jeroen Zoet,PSV,Eredivisie,Holland,27,189,88
Igor Akinfeev,CSKA Moscow,League of Russia,Russia,32,186,78
Alan Dzagoev,CSKA Moscow,League of Russia,Russia,28,179,75
Ryan Fraser,Bournemouth,Premier League,Scotland,24,163,60
Domenico Criscito,Genoa,Serie A TIM,Italy,31,183,75
Igor Denisov,Lokomotiv Moscow,League of Russia,Russia,34,176,70
Josip Ilicic,Atalanta,Serie A TIM,Slovenia,30,190,79
Kevin-Prince Boateng,Sassuolo,Serie A TIM,Ghana,31,186,86
Mario Gómez,VfB Stuttgart,Bundesliga,Germany,33,189,89
Benjamin Lecomte,Montpellier Hérault SC,Ligue 1 Conforama,France,27,186,78
José Luis Morales Nogales,Levante UD,LaLiga Santander,Spain,31,180,70
João Filipe Moutinho,Wolverhampton Wanderers,Premier League,Portugal,32,170,61
Jérôme Gondorf,Sport-Club Freiburg,Bundesliga,Germany,30,176,78
Josef Alexander Martínez,Atlanta United,Major League Soccer,Venezuela,25,170,69
Nicolas Pépé,LOSC Lille,Ligue 1 Conforama,Côte d'Ivoire,23,183,73
Carlos Vela,Los Angeles Football Club,Major League Soccer,Mexico,29,177,77
Bafétimbi Gomis,Al Hilal,Saudi Professional League,France,33,184,77
Bradley Wright-Phillips,New York Red Bulls,Major League Soccer,England,33,173,75
Renato Augusto,Beijing Guoan,CSL,Brazil,30,186,86
Anthony Modeste,Tianjin Quanjian FC,CSL,France,30,187,84
Givanildo Vieira de Souza,Shanghai SIPG FC,CSL,Brazil,32,180,85
Mahmoud Dahoud,Borussia Dortmund,Bundesliga,Germany,22,178,68
Maximilian Philipp,Borussia Dortmund,Bundesliga,Germany,24,183,79
Francisco Alcácer García,Borussia Dortmund,Bundesliga,Spain,25,175,71
Thomas Delaney,Borussia Dortmund,Bundesliga,Denmark,27,182,79
Marwin Hitz,Borussia Dortmund,Bundesliga,Switzerland,31,194,89
Christian Pulisic,Borussia Dortmund,Bundesliga,United States,20,177,69
Marouane Fellaini,Manchester United,Premier League,Belgium,30,194,85
Victor Nilsson Lindelöf,Manchester United,Premier League,Sweden,24,187,80
Danilo Luiz da Silva,Manchester City,Premier League,Brazil,27,184,78
Claudio Bravo,Manchester City,Premier League,Chile,35,184,80
Denis Suárez Fernández,FC Barcelona,LaLiga Santander,Spain,24,176,69
Simon Mignolet,Liverpool,Premier League,Belgium,30,193,87
Ignacio Monreal Eraso,Arsenal,Premier League,Spain,32,179,72
Stephan Lichtsteiner,Arsenal,Premier League,Switzerland,34,182,76
Marcos Llorente Moreno,Real Madrid,LaLiga Santander,Spain,23,184,73
Cenk Tosun,Everton,Premier League,Turkey,27,183,78
Séamus Coleman,Everton,Premier League,Republic of Ireland,29,177,67
Mateo Musacchio,Milan,Serie A TIM,Argentina,28,180,73
Ricardo Rodríguez,Milan,Serie A TIM,Switzerland,26,180,77
Luís Carlos Almeida da Cunha,Sporting CP,Liga NOS,Portugal,31,177,68
Marcos Acuña,Sporting CP,Liga NOS,Argentina,26,172,69
Orestis Karnezis,Napoli,Serie A TIM,Greece,33,190,81
Vincent Aboubakar,FC Porto,Liga NOS,Cameroon,26,184,82
Sérgio Miguel Relvas de Oliveira,FC Porto,Liga NOS,Portugal,26,181,72
Francisco Soares dos Santos,FC Porto,Liga NOS,Brazil,27,187,82
Layvin Kurzawa,Paris Saint-Germain,Ligue 1 Conforama,France,26,182,76
Giovani Lo Celso,Paris Saint-Germain,Ligue 1 Conforama,Argentina,22,175,70
Kevin Trapp,Paris Saint-Germain,Ligue 1 Conforama,Germany,28,189,86
Nikola Kalinic,Atlético Madrid,LaLiga Santander,Croatia,30,187,80
Stefan Radu,Lazio,Serie A TIM,Romania,31,183,79
Mikel Oyarzabal Ugarte,Real Sociedad,LaLiga Santander,Spain,21,181,78
Miguel Ángel Moyá Rumbo,Real Sociedad,LaLiga Santander,Spain,34,188,83
Luis Muriel,Sevilla FC,LaLiga Santander,Colombia,27,179,79
Santiago Cazorla González,Villarreal CF,LaLiga Santander,Spain,33,168,66
Mario Gaspar Pérez Martínez,Villarreal CF,LaLiga Santander,Spain,27,182,74
Jack Wilshere,West Ham United,Premier League,England,26,172,68
Andriy Yarmolenko,West Ham United,Premier League,Ukraine,28,190,83
Lukasz Fabianski,West Ham United,Premier League,Poland,33,190,83
André Gomes Magalhães Almeida,SL Benfica,Liga NOS,Portugal,28,185,80
Rafael A. Ferreira Silva,SL Benfica,Liga NOS,Portugal,25,172,66
Jemerson de Jesus Nascimento,AS Monaco Football Club SA,Ligue 1 Conforama,Brazil,26,184,77
Youri Tielemans,AS Monaco Football Club SA,Ligue 1 Conforama,Belgium,21,176,72
Alexandr Golovin,AS Monaco Football Club SA,Ligue 1 Conforama,Russia,22,180,69
Benjamin Hübner,TSG 1899 Hoffenheim,Bundesliga,Germany,29,193,86
Leonardo Bittencourt,TSG 1899 Hoffenheim,Bundesliga,Germany,24,170,62
Pavel Kaderábek,TSG 1899 Hoffenheim,Bundesliga,Czech Republic,26,182,81
Lautaro Martínez,Inter,Serie A TIM,Argentina,21,175,79
Kwadwo Asamoah,Inter,Serie A TIM,Ghana,29,173,75
Adem Ljajic,Be?ikta? JK,Süper Lig,Serbia,27,182,74
Diego López Rodríguez,RCD Espanyol,LaLiga Santander,Spain,36,196,89
Onyinye Ndidi,Leicester City,Premier League,Nigeria,21,183,74
Iker Muniain Goñi,Athletic Club,LaLiga Santander,Spain,25,169,63
Beñat Etxebarria Urkiaga,Athletic Club,LaLiga Santander,Spain,31,177,76
Markel Susaeta Laskurain,Athletic Club,LaLiga Santander,Spain,30,179,68
Ignacio Camacho Barnola,VfL Wolfsburg,Bundesliga,Spain,28,183,75
Omar Mascarell González,FC Schalke 04,Bundesliga,Spain,25,181,76
Yevgen Konoplyanka,FC Schalke 04,Bundesliga,Ukraine,29,178,78
Nabil Bentaleb,FC Schalke 04,Bundesliga,Algeria,23,187,78
Guido Burgstaller,FC Schalke 04,Bundesliga,Austria,29,187,80
Hugo Mallo Novegil,RC Celta,LaLiga Santander,Spain,27,174,72
Maximiliano Gómez,RC Celta,LaLiga Santander,Uruguay,22,186,80
Rafael Pereira da Silva,Olympique Lyonnais,Ligue 1 Conforama,Brazil,28,172,78
Bertrand Traoré,Olympique Lyonnais,Ligue 1 Conforama,Burkina Faso,23,181,73
Lucas Tousart,Olympique Lyonnais,Ligue 1 Conforama,France,21,185,83
Ryad Boudebouz,Real Betis,LaLiga Santander,Algeria,28,177,74
Francis Coquelin,Valencia CF,LaLiga Santander,France,27,177,74
José Luís Gayà Peña,Valencia CF,LaLiga Santander,Spain,23,172,66
Ismaily Gonçalves dos S.,Shakhtar Donetsk,Ukrayina Liha,Brazil,28,177,82
David Neres Campos,Ajax,Eredivisie,Brazil,21,175,66
Daley Blind,Ajax,Eredivisie,Holland,28,180,72
Nicolás Tagliafico,Ajax,Eredivisie,Argentina,26,171,65
Dante Bonfim Costa Santos,OGC Nice,Ligue 1 Conforama,Brazil,34,188,85
Nicolas Nkoulou,Torino,Serie A TIM,Cameroon,28,184,77
Iago Falqué Silva,Torino,Serie A TIM,Spain,28,174,69
Enrique García Martínez,SD Eibar,LaLiga Santander,Spain,28,186,79
Sergi Enrich Ametller,SD Eibar,LaLiga Santander,Spain,28,181,77
Mamadou Sakho,Crystal Palace,Premier League,France,28,187,83
André-Pierre Gignac,Tigres U.A.N.L.,LIGA Bancomer MX,France,32,187,91
Mariano Ferreira Filho,Galatasaray SK,Süper Lig,Brazil,32,179,69
Sofiane Feghouli,Galatasaray SK,Süper Lig,Algeria,28,176,75
Fernando Reges,Galatasaray SK,Süper Lig,Brazil,31,183,76
Stefano Sorrentino,Chievo Verona,Serie A TIM,Italy,39,186,85
Valter Birsa,Chievo Verona,Serie A TIM,Slovenia,32,184,81
Jefferson Farfán,Lokomotiv Moscow,League of Russia,Peru,33,178,84
Fabio Quagliarella,Sampdoria,Serie A TIM,Italy,35,180,79
Tom Heaton,Burnley,Premier League,England,32,187,92
Steven Defour,Burnley,Premier League,Belgium,30,175,72
Ben Mee,Burnley,Premier League,England,29,183,82
Cristian Pavón,Buenos Aires,SAF,Argentina,22,174,76
Benjamin Pavard,VfB Stuttgart,Bundesliga,France,22,186,76
Daniel Didavi,VfB Stuttgart,Bundesliga,Germany,28,180,77
Loïc Perrin,AS Saint-Étienne,Ligue 1 Conforama,France,33,181,80
Christian Stuani,Girona FC,LaLiga Santander,Uruguay,31,186,72
Ruud Vormer,Club Brugge KV,Belgium Pro League,Holland,30,178,79
Vitorino Pacheco Antunes,Getafe CF,LaLiga Santander,Portugal,31,175,69
Miguel Almirón,Atlanta United,Major League Soccer,Paraguay,24,175,63
Fabricio Agosto Ramírez,Fulham,Premier League,Spain,30,185,67
Diego Valeri,Portland Timbers,Major League Soccer,Argentina,32,178,75
Ignacio Piatti,Impact Montréal,Major League Soccer,Argentina,33,180,76
Bastian Schweinsteiger,Chicago Fire Soccer Club,Major League Soccer,Germany,34,183,79
Wayne Rooney,D.C. United,Major League Soccer,England,32,176,83
Fernando José Torres Sanz,Sagan Tosu,Meiji Yasuda J1 League,Spain,34,186,79
Augusto Fernández,Beijing Renhe,CSL,Argentina,32,177,73
Javier Mascherano,Hebei China Fortune FC,CSL,Argentina,34,174,73
Alexandre Rodrigues da Silva,Tianjin Quanjian FC,CSL,Brazil,29,180,81
Matthias Ginter,Borussia Mönchengladbach,Bundesliga,Germany,24,188,83
Sead Kolainac,Arsenal,Premier League,Bosnia and Herzegovina,25,183,85
Hakan Çalhano?lu,Milan,Serie A TIM,Turkey,24,178,76
Morgan Sanson,Olympique de Marseille,Ligue 1 Conforama,France,24,180,73
André Filipe Tavares Gomes,Everton,Premier League,Portugal,25,188,84
Tiémoué Bakayoko,Milan,Serie A TIM,France,24,189,85
Mattia Caldara,Milan,Serie A TIM,Italy,24,187,80
Raúl Michel Melo da Silva,SC Braga,Liga NOS,Brazil,28,187,81
Karl Toko-Ekambi,Villarreal CF,LaLiga Santander,Cameroon,26,185,74
Fabián Balbuena,West Ham United,Premier League,Paraguay,27,188,85
Manuel Agudo Durán,Sevilla FC,LaLiga Santander,Spain,31,175,72
Cristian Tello Herrera,Real Betis,LaLiga Santander,Spain,27,178,65
Milan Badelj,Lazio,Serie A TIM,Croatia,29,186,76
James Tarkowski,Burnley,Premier League,England,25,192,81
Jannik Vestergaard,Southampton,Premier League,Denmark,26,199,98
Karim Bellarabi,Bayer 04 Leverkusen,Bundesliga,Germany,28,184,80
Héctor Bellerín Moruno,Arsenal,Premier League,Spain,23,178,74
Nick Pope,Burnley,Premier League,England,26,200,76
John Brooks,VfL Wolfsburg,Bundesliga,United States,25,193,78
Eran Zahavi,Guangzhou R&F FC,CSL,Israel,31,182,71
Cristian Portugues Manzanera,Girona FC,LaLiga Santander,Spain,26,178,70
Takashi Inui,Real Betis,LaLiga Santander,Japan,30,169,63
Bernard Anício Caldeira Duarte,Everton,Premier League,Brazil,26,164,60
Zouhair Feddal,Real Betis,LaLiga Santander,Morocco,28,191,83
Alassane Pléa,Borussia Mönchengladbach,Bundesliga,France,25,181,79
Sergio Rico González,Fulham,Premier League,Spain,25,194,88
Domagoj Vida,Be?ikta? JK,Süper Lig,Croatia,29,184,76
Mattia De Sciglio,Juventus,Serie A TIM,Italy,25,182,78
Abdou Diallo,Borussia Dortmund,Bundesliga,France,22,186,79
Nuri Sahin,Borussia Dortmund,Bundesliga,Turkey,30,180,73
Raphaël Guerreiro,Borussia Dortmund,Bundesliga,Portugal,24,170,71
Manuel Akanji,Borussia Dortmund,Bundesliga,Switzerland,23,187,85
Luke Shaw,Manchester United,Premier League,England,23,181,75
Andreas Hugo Hoelgebaum Pereira,Manchester United,Premier League,Brazil,22,178,71
Danny Drinkwater,Chelsea,Premier League,England,28,177,70
Ross Barkley,Chelsea,Premier League,England,24,189,76
Marco van Ginkel,Chelsea,Premier League,Holland,25,186,82
Davide Zappacosta,Chelsea,Premier League,Italy,26,182,70
Sandro Wagner,FC Bayern München,Bundesliga,Germany,30,194,92
Trent Alexander-Arnold,Liverpool,Premier League,England,19,180,69
Michel Vorm,Tottenham Hotspur,Premier League,Holland,34,184,84
Daniel Ceballos Fernández,Real Madrid,LaLiga Santander,Spain,22,179,70
Fábio Alexandre Silva Coentrão,Real Madrid,LaLiga Santander,Portugal,30,179,66
Jesús Vallejo Lázaro,Real Madrid,LaLiga Santander,Spain,21,184,79
Theo Walcott,Everton,Premier League,England,29,176,68
Leighton Baines,Everton,Premier League,England,33,170,70
Michael Keane,Everton,Premier League,England,25,191,82
Morgan Schneiderlin,Everton,Premier League,France,28,185,75
Raphael Dias Belloli,Sporting CP,Liga NOS,Brazil,21,176,68
Rodrigo Battaglia,Sporting CP,Liga NOS,Argentina,27,187,79
David Ospina,Napoli,Serie A TIM,Colombia,30,183,80
Mário Rui Silva Duarte,Napoli,Serie A TIM,Portugal,27,170,67
Vlad Chiriches,Napoli,Serie A TIM,Romania,28,184,75
Nikola Maksimovic,Napoli,Serie A TIM,Serbia,26,193,87
Óliver Torres Muñoz,FC Porto,Liga NOS,Spain,23,175,63
Otávio Edmilson da Silva Monteiro,FC Porto,Liga NOS,Brazil,23,172,71
Juan Guilherme Nunes Jesus,Roma,Serie A TIM,Brazil,27,185,76
Bryan Cristante,Roma,Serie A TIM,Italy,23,186,78
Lorenzo Pellegrini,Roma,Serie A TIM,Italy,22,186,77
Santiago Arias,Atlético Madrid,LaLiga Santander,Colombia,26,178,72
Roberto Pereyra,Watford,Premier League,Argentina,27,182,77
Kai Havertz,Bayer 04 Leverkusen,Bundesliga,Germany,19,188,82
Lucas Alario,Bayer 04 Leverkusen,Bundesliga,Argentina,25,184,79
Sergio Escudero Palomo,Sevilla FC,LaLiga Santander,Spain,29,176,72
Gabriel Mercado,Sevilla FC,LaLiga Santander,Argentina,31,180,83
Roque Mesa Quevedo,Sevilla FC,LaLiga Santander,Spain,29,171,74
Simon Kjær,Sevilla FC,LaLiga Santander,Denmark,29,189,84
Álvaro González Soberón,Villarreal CF,LaLiga Santander,Spain,28,183,75
Jaume Vicent Costa Jordá,Villarreal CF,LaLiga Santander,Spain,30,171,62
Javier Hernández,West Ham United,Premier League,Mexico,30,175,73
Lucas Pérez Martínez,West Ham United,Premier League,Spain,30,180,73
Germán Conti,SL Benfica,Liga NOS,Argentina,24,194,80
Facundo Ferreyra,SL Benfica,Liga NOS,Argentina,27,185,78
Filip Krovinovic,SL Benfica,Liga NOS,Croatia,23,177,70
Rúben Alves Dias,SL Benfica,Liga NOS,Portugal,21,186,82
Andrija ivkovic,SL Benfica,Liga NOS,Serbia,22,169,68
Nadiem Amiri,TSG 1899 Hoffenheim,Bundesliga,Germany,21,180,73
Nico Schulz,TSG 1899 Hoffenheim,Bundesliga,Germany,25,180,78
Mohamed Elyounoussi,Southampton,Premier League,Norway,24,178,70
Ryan Bertrand,Southampton,Premier League,England,29,179,85
Roberto Gagliardini,Inter,Serie A TIM,Italy,24,190,77
Ryan Babel,Be?ikta? JK,Süper Lig,Holland,31,185,85
Loris Karius,Be?ikta? JK,Süper Lig,Germany,25,189,87
Pablo Piatti,RCD Espanyol,LaLiga Santander,Argentina,29,163,63
David López Silva,RCD Espanyol,LaLiga Santander,Spain,28,183,81
Sergi Darder Moll,RCD Espanyol,LaLiga Santander,Spain,24,180,71
Leonardo Carrilho Baptistão,RCD Espanyol,LaLiga Santander,Brazil,26,181,72
Adrien S. Perruchet Silva,Leicester City,Premier League,Portugal,29,175,69
Oscar De Marcos Arana,Athletic Club,LaLiga Santander,Spain,29,182,80
Iñigo Martínez Berridi,Athletic Club,LaLiga Santander,Spain,27,182,77
Ibrahima Traoré,Borussia Mönchengladbach,Bundesliga,Guinea,30,171,61
Yunus Malli,VfL Wolfsburg,Bundesliga,Turkey,26,179,72
Josuha Guilavogui,VfL Wolfsburg,Bundesliga,France,28,188,77
Germán Pezzella,Fiorentina,Serie A TIM,Argentina,27,186,81
Amine Harit,FC Schalke 04,Bundesliga,Morocco,21,180,67
Benjamin Stambouli,FC Schalke 04,Bundesliga,France,28,180,82
René Adler,1. FSV Mainz 05,Bundesliga,Germany,33,191,85
Jean-Philippe Gbamin,1. FSV Mainz 05,Bundesliga,Côte d'Ivoire,23,186,83
Houssem Aouar,Olympique Lyonnais,Ligue 1 Conforama,France,20,175,70
Tanguy Ndombele,Olympique Lyonnais,Ligue 1 Conforama,France,21,181,76
Kenny Tete,Olympique Lyonnais,Ligue 1 Conforama,Holland,22,180,71
Antonio Sanabria,Real Betis,LaLiga Santander,Paraguay,22,180,74
Sergio León Limones,Real Betis,LaLiga Santander,Spain,29,178,73
Sergio Canales Madrazo,Real Betis,LaLiga Santander,Spain,27,180,74
Aïssa Mandi,Real Betis,LaLiga Santander,Algeria,26,184,78
Sidnei Rechel da Silva Júnior,Real Betis,LaLiga Santander,Brazil,29,188,88
Cristiano Piccini,Valencia CF,LaLiga Santander,Italy,26,189,79
David Abraham,Eintracht Frankfurt,Bundesliga,Argentina,32,189,84
Ante Rebic,Eintracht Frankfurt,Bundesliga,Croatia,25,185,78
José Luís Mendes Andrade,Spartak Moscow,League of Russia,Cape Verde Islands,27,184,88
Roman Zobnin,Spartak Moscow,League of Russia,Russia,24,182,75
Diego Demme,RB Leipzig,Bundesliga,Germany,26,170,68
Willi Orban,RB Leipzig,Bundesliga,Germany,25,186,83
Péter Gulácsi,RB Leipzig,Bundesliga,Hungary,28,190,83
Armindo Tué Na Bangna,RB Leipzig,Bundesliga,Portugal,23,173,70
Andriy Pyatov,Shakhtar Donetsk,Ukrayina Liha,Ukraine,34,190,90
André Onana,Ajax,Eredivisie,Cameroon,22,187,93
Daniele Baselli,Torino,Serie A TIM,Italy,26,182,70
Jonas Hector,1. FC Köln,Bundesliga 2,Germany,28,185,75
Karim Rekik,Hertha BSC,Bundesliga,Holland,23,186,79
Salomon Kalou,Hertha BSC,Bundesliga,Côte d'Ivoire,33,184,77
Marko Dmitrovic,SD Eibar,LaLiga Santander,Serbia,26,194,90
Fabián Orellana,SD Eibar,LaLiga Santander,Chile,32,168,64
Charles Dias De Oliveira,SD Eibar,LaLiga Santander,Brazil,34,177,75
Max Meyer,Crystal Palace,Premier League,Germany,23,173,68
Luka Milivojevic,Crystal Palace,Premier League,Serbia,27,186,80
Ricardo Jorge da Luz Horta,SC Braga,Liga NOS,Portugal,24,173,63
Guido Pizarro,Tigres U.A.N.L.,LIGA Bancomer MX,Argentina,28,185,74
Davy Klaassen,SV Werder Bremen,Bundesliga,Holland,25,179,70
Luuk de Jong,PSV,Eredivisie,Holland,28,188,86
Steven Berghuis,Feyenoord,Eredivisie,Holland,26,182,72
Jefferson Lerma,Bournemouth,Premier League,Colombia,23,179,70
Nathan Aké,Bournemouth,Premier League,Holland,23,180,75
Asmir Begovic,Bournemouth,Premier League,Bosnia and Herzegovina,31,199,83
Ibai Gómez Pérez,D. Alavés,LaLiga Santander,Spain,28,177,72
Fernando Pacheco Flores,D. Alavés,LaLiga Santander,Spain,26,186,81
John Guidetti,D. Alavés,LaLiga Santander,Sweden,26,185,79
Pierre-Michel Lasogga,Hamburger SV,Bundesliga 2,Germany,26,189,88
Guilherme Alvim Marinato,Lokomotiv Moscow,League of Russia,Russia,32,195,95
Grzegorz Krychowiak,Lokomotiv Moscow,League of Russia,Poland,28,186,85
Gastón Ramírez,Sampdoria,Serie A TIM,Uruguay,27,183,77
Jack Cork,Burnley,Premier League,England,29,184,75
Jóhann Berg Gudmundsson,Burnley,Premier League,Iceland,27,179,77
Franco Armani,River Plate,SAF,Argentina,31,189,88
Darío Benedetto,Buenos Aires,SAF,Argentina,28,175,75
Andrea Masiello,Atalanta,Serie A TIM,Italy,32,184,82
Juraj Kucka,Trabzonspor,Süper Lig,Slovakia,31,186,84
Burak Yilmaz,Trabzonspor,Süper Lig,Turkey,33,188,77
Emre Belözoglu,Medipol Ba?ak?ehir FK,Süper Lig,Turkey,38,169,72
